"Catégorie"	"Niveau"	"Libellé"	"juste"	"faux1"	"faux2"	"faux3"	"faux4"	"feedback"
"ABC"	1	"Le ministre viendra lui même inaugurer cette nouvelle école"	"incorrect"	"correct"				"lui-même"
"ABC"	1	"En cas de panne, j'envois un technicien chez le client"	"incorrect"	"correct"				"envoie"
"ABC"	1	"N'hésite pas à insister pour obtenir rendez-vous."	"correct"	"incorrect"				
"ABC"	1	"Il faut que tu rapelles le client."	"incorrect"	"correct"				"rappelles"
"ABC"	1	"En mon fort intérieur, je suis sûr de gagner."	"incorrect"	"correct"				"for"
"ABC"	1	"Malgrés les avancées scientifiques, on a toujours pas élucidé les mystères de l'univers"	"incorrect"	"correct"				"malgré"
"ABC"	1	"Les piles sont-elles inclues dans la voiture télécommandée ?"	"incorrect"	"correct"				"incluses"
"ABC"	1	"Le titre de l'émission est ""Cauchemard en cuisine""."	"incorrect"	"correct"				"cuachemar"
"ABC"	1	"J'ai crû bien faire en invitant tes parents à déjeuner dimanche."	"incorrect"	"correct"				"cru"
"ABC"	1	" Cet élève travaille assidument et, ce faisant, obtient de bons résultats"	"correct"	"incorrect"				
"ABC"	1	"Je vous serai gré de bien vouloir accuser réception de ce courrier."	"incorrect"	"correct"				"saurai"
"ABC"	1	"Au pied du sapin étaient disposés des cadeaux pour les enfants."	"correct"	"incorrect"				
"ABC"	1	"Vues les difficultés météorologiques, les cours sont annulés."	"incorrect"	"correct"				"vu"
"ABC"	1	"L'assasssin n'a pas encore été retrouvé, il peut-être partout"	"incorrect"	"correct"				"peut être"
"ABC"	1	"Ce travail est-il bien rénuméré ?"	"incorrect"	"correct"				"rémunéré"
"ABC"	1	"Il existe différents types de nezs : crochus, droits ou retroussés"	"incorrect"	"correct"				"nez"
"ABC"	1	"Heureusement, il y a des magasines pour passer le temps !"	"incorrect"	"correct"				"magazines"
"ABC"	1	"Eh bien, qu'attendez-vous pour vous mettre au travail ?"	"correct"	"incorrect"				
"ABC"	1	"Tous les lundis, je regarde ma série préférée à la télé."	"correct"	"incorrect"				
"ABC"	1	"Au moment de l'hymne national, tous les supporters étaient debouts."	"incorrect"	"correct"				"debout"
"ABC"	1	"Nombres de vêtements envahissent les rayons des boutiques lors des soldes."	"incorrect"	"correct"				"nombre"
"ABC"	1	"Les Arborigènes d'Australie sont en voie de disparition"	"incorrect"	"correct"				"Aborigènes"
"ABC"	1	"Demain je suis convoqué à un entretien."	"correct"	"incorrect"				
"ABC"	1	"Cet opérateur téléphonique propose un abonnement internet à 1,99 euros."	"incorrect"	"correct"				"euro"
"ABC"	1	"Le client voulait avoir à faire avec le directeur."	"incorrect"	"correct"				"affaire"
"ABC"	1	"Je l'ai dit par acquis de conscience."	"incorrect"	"correct"				"acquit"
"ABC"	1	"C'est là que le bât blesse."	"correct"	"incorrect"				
"ABC"	1	"C'est un scandale de voir tous les aliments qui sont jettés !"	"incorrect"	"correct"				"jetés"
"ABC"	1	"J'ai fait passer le document à Mr le Maire."	"incorrect"	"correct"				"M."
"ABC"	1	"Les personnes intéressées peuvent appeler, hormi le dimanche"	"incorrect"	"correct"				"hormis"
"ABC"	1	"Ce vieux satyre vit entouré de jeunes beautés."	"correct"	"incorrect"				
"ABC"	1	"Je pensais que, parmi les étudiants, beaucoup seraient sérieux."	"correct"	"incorrect"				
"ABC"	1	"Et vous me dites que les soucoupes volantes étaient marrons ?"	"incorrect"	"correct"				"marron"
"ABC"	1	"Elle a lu quatres tomes de la saga de Zola."	"incorrect"	"correct"				"quatre"
"ABC"	1	"On m'a demandé d'assuré la permanence ce weekend."	"incorrect"	"correct"				"assurer"
"ABC"	1	"Mon collègue va vous précisez si la TVA est comprise dans le prix."	"incorrect"	"correct"				"préciser"
"ABC"	1	"Vous faites peu de cas de nos sentiments !"	"correct"	"incorrect"				
"ABC"	1	"J'ai mes astuces, ils me disent qu'ils ont les leur."	"incorrect"	"correct"				"leurs"
"ABC"	1	"On dit que les aveyronnais sont chauvins"	"incorrect"	"correct"				"Aveyronnais"
"ABC"	1	"La stagiaire est toute épatée de ton professionnalisme."	"incorrect"	"correct"				"tout"
"ABC"	1	"Béa est allée de toute urgence au vétérinaire pour faire soigner son chat"	"incorrect"	"correct"				"chez"
"ABC"	1	"Quand il est sorti de l'eau, Jean était en hippothermie."	"correct"	"incorrect"				
"ABC"	1	"Cet enfant est une vraie glu."	"correct"	"incorrect"				
"ABC"	1	"Attention ce produit chimique est très volatile."	"incorrect"	"correct"				"volatil"
"ABC"	1	"Albert lit des bandes dessinées tous les jours, il en est accroc."	"incorrect"	"correct"				"accro"
"ABC"	1	"Tout ce que l'on pensait s'est avéré faux."	"incorrect"	"correct"				"avéré =vrai"
"ABC"	1	"Aux prochaines vacances, je m'offrirai une petite pause."	"correct"	"incorrect"				
"ABC"	1	"Ce groupe de boys band, je les trouve banaux."	"incorrect"	"correct"				"banals"
"ABC"	1	"Les professionnels de l'informatique ont la cote."	"correct"	"incorrect"				
"ABC"	1	"En dépassant la limitation de vitesse, j'ai attrapé une amande."	"incorrect"	"correct"				"amende"
"ABC"	1	"Le fonds documentaire de l'I.U.T. est très complet."	"correct"	"incorrect"				
"ABC"	1	"Je vous saurai gré de me répondre rapidement par courrier."	"correct"	"incorrect"				
"ABC"	1	"Face à tes ennuis pécuniers, j'accepte de t'aider."	"incorrect"	"correct"				"pécuniaires"
"ABC"	1	"Vous n'êtes pas sans ignorer que sans travail il n'y a pas de succès."	"incorrect"	"correct"				"Vous savez"
"ABC"	1	"Je me retrouve face à une double alternative…"	"incorrect"	"correct"				"double"
"ABC"	1	"Les jurés se sont réunis à huit clos."	"incorrect"	"correct"				"huis"
"ABC"	1	"Ma mère m'a rabattu les oreilles à cause de de mes réultats scolaires."	"incorrect"	"correct"				"rebattu"
"ABC"	1	"Le chiffre d'affaires a-t-il vraiment doublé ?"	"correct"	"incorrect"				
"ABC"	1	"La conjecture immobilière est actuellement très mauvaise"	"incorrect"	"correct"				"conjoncture"
"ABC"	1	"Les fêtards sont arrivés sans crier garde."	"incorrect"	"correct"				"gare"
"ABC"	1	"Ce job d'été est très bien rénuméré."	"incorrect"	"correct"				"rémunéré"
"ABC"	1	"Les places financières craignent un crack boursier."	"incorrect"	"correct"				"krack"
"ABC"	1	"L'aigle royal a rejoint son repaire."	"correct"	"incorrect"				
"ABC"	1	"Nous dînons avec Jacques tous les dimanches."	"correct"	"incorrect"				
"ABC"	1	"Mes parents sont commerçants, ils travaillent tous les samedis."	"correct"	"incorrect"				
"ABC"	1	"Certe, le tarif est intéressant, mais que ferais-je d'un troisième ordinateur ?"	"incorrect"	"correct"				"certes"
"ABC"	1	"Auparavent, il recevait un salaire plus important."	"incorrect"	"correct"				"auparavant"
"ABC"	1	"Allons-y ensembles, à trois nous serons plus forts."	"incorrect"	"correct"				"ensemble"
"ABC"	1	"Biensûr tu ne dors plus. Normal avec tout le café que tu bois !"	"incorrect"	"correct"				"bien sûr"
"ABC"	1	"Malgrés la crise, notre entreprise est en plein développement."	"incorrect"	"correct"				"malgré"
"ABC"	1	"Nous assurons essentiellement des transports internationnaux."	"incorrect"	"correct"				"internationnaux"
"ABC"	1	"Je ne vois pas trois mille solutions pour résoudre cet exercice !"	"correct"	"incorrect"				
"ABC"	1	"Ces livraisons nous les expédieront par avion."	"incorrect"	"correct"				"expédierons"
"ABC"	1	"Vos propos sont vraiment extravaguants !"	"incorrect"	"correct"				"extravagants"
"ABC"	1	""" Va, cours, vole et nous venge ! "" "	"correct"	"incorrect"				
"ABC"	1	"Si ce gâteau te tente, sers-t'en une part."	"correct"	"incorrect"				
"ABC"	1	"Si vous n'y allez pas, on y va pas non plus."	"incorrect"	"correct"				"n'y"
"ABC"	1	"Tu devrais t'adresser plutôt au fabriquant."	"incorrect"	"correct"				"fabricant"
"ABC"	1	"Si ça se trouve, tu as peut-être rencontré Miss France."	"correct"	"incorrect"				
"ABC"	1	"Ces parents sont loin, mais elle leur téléphone tous les jours."	"correct"	"incorrect"				
"ABC"	1	"J'admets que cette solution présente plus davantage que la précédente."	"incorrect"	"correct"				"d'avantages"
"ABC"	1	"S'ils échouent à l'examen, il devront sans prendre à eux-mêmes."	"correct"	"incorrect"				
"ABC"	1	"Mon frère ne sera pas la avec nous."	"incorrect"	"correct"				"là"
"ABC"	1	"Pour la vente de votre maison, pensez à faire un diagnostic thermique."	"correct"	"incorrect"				
"ABC"	1	"Tu devrais mettre ces cartes de vœux à l'envoie avant jeudi."	"incorrect"	"correct"				"envoie"
"ABC"	1	"Elle devra nous rejoindre pas ces propres moyens."	"incorrect"	"correct"				"ses"
"ABC"	1	"Ne t'inquiète pas pour ça !"	"correct"	"incorrect"				
"ABC"	1	"Note-le, sinon tu risques dans oublier la moitié."	"incorrect"	"correct"				"d'en"
"ABC"	1	"Ce match, il est or de question qu'on le perde !"	"incorrect"	"correct"				"hors"
"ABC"	1	"Qu'en pensez-vous ?"	"correct"	"incorrect"				
"ABC"	1	"Leur mère est professeur, la notre est pharmacienne."	"incorrect"	"correct"				"nôtre"
"ABC"	1	"On reconnaît un cube à ses douze arrêtes."	"incorrect"	"correct"				"arêtes"
"ABC"	1	"Le Tour de France à vélo se caractérise par des cotes difficiles à grimper."	"incorrect"	"correct"				"côtes"
"ABC"	1	"Tu résonnes parfois comme un enfant de 5 ans."	"incorrect"	"correct"				"raisonnes"
"ABC"	1	"Françoise mange quelques cerises à la fin du repas."	"correct"	"incorrect"				
"ABC"	1	"Je trouve cette idée étrange, voir loufoque."	"incorrect"	"correct"				"voire"
"ABC"	1	"J'ai mis la pièce sans dessus dessous !"	"incorrect"	"correct"				"sens"
"ABC"	1	"Quand le directeur est entré, ils se sont mis debouts."	"incorrect"	"correct"				"debout"
"ABC"	1	"Le chien fait le beau assis sur ses pattes arrières."	"correct"	"incorrect"				
"ABC"	1	"Cette somme t'est dûe, tu la mérites."	"incorrect"	"correct"				"due"
"ABC"	1	"La TVA est inclue dans le prix du manteau."	"incorrect"	"correct"				"incluses"
"ABC"	1	"Cette personne a l'air fâché."	"incorrect"	"correct"				"fâchée"
"ABC"	1	"Le joueur, prudent, surveille ses arrières."	"correct"	"incorrect"				
"ABC"	1	"Lorsque la réunion est terminée, on rédige le compte-rendu."	"incorrect"	"correct"				"compte rendu"
"ABC"	1	"Roméo et Juliette se sont plus au premier regard."	"incorrect"	"correct"				"plu"
"ABC"	1	"Ils se sont faits l'écho de cette information."	"incorrect"	"correct"				"fait"
"ABC"	1	"Mon grand-père est né il y a quelque cent ans."	"correct"	"incorrect"				
"ABC"	1	"Nous te soutiendrons, quoique tu décides."	"incorrect"	"correct"				"quoi que "
"ABC"	1	"J'ai bien réfléchi, mais je reste sceptique quant à la décision que tu as prise."	"correct"	"incorrect"				
"ABC"	1	"L'association de ces produits constitue un mélange détonant."	"correct"	"incorrect"				
"ABC"	1	"C'est une personne digne de foie."	"incorrect"	"correct"				"foi"
"ABC"	1	"Le technicien en téléphonie a solutionné mon problème d'internet."	"incorrect"	"correct"				"résolu"
"ABC"	1	"Je ne comprends pas ce que vous dîtes !"	"incorrect"	"correct"				"dites"
"ABC"	1	"Les gendarmes se sont fait aider de la brigade cynéphile."	"incorrect"	"correct"				"cynophile"
"ABC"	1	"Claude a pensé à amener le dessert."	"incorrect"	"correct"				"apporter"
"ABC"	1	"L'école va bientôt rouvrir."	"correct"	"incorrect"				
"ABC"	1	"Il faut indiquer votre formation sur votre CV, quelle que qu'elle soit"	"correct"	"incorrect"				
"ABC"	1	"Quant je suis arrivé à l'aéroport, j'ai oublié un baguage."	"incorrect"	"correct"				"bagage"
"ABC"	1	"Cet appartement possède des pièces trop exigües."	"incorrect"	"correct"				"exiguës"
"ABC"	1	"Cette famille a su reserrer ses liens."	"incorrect"	"correct"				"resserrer"
"ABC"	1	"Maître Corbeau, par l'odeur alléchée, lui tint à peu près ce langage."	"incorrect"	"correct"				"alléché"
"ABC"	1	"Les rond-points fleurissent à l'entrée des villes."	"incorrect"	"correct"				"ronds-points"
"ABC"	1	"Nos sac à dos pèsent trop lourds."	"incorrect"	"correct"				"lourd"
"ABC"	1	"L'appartement resté vaquant longtemps, est enfin loué."	"incorrect"	"correct"				"vacant"
"ABC"	1	"Ils se sont parlés hier."	"incorrect"	"correct"				"parlé"
"ABC"	1	"Le Maire et sont équipe vous souhaitent une Bonne Année."	"incorrect"	"correct"				"son"
"ABC"	1	"Et voilà, les vacances c'est finit !"	"incorrect"	"correct"				"fini"
"ABC"	1	"Quelle tempête il a fait hier !"	"correct"	"incorrect"				
"ABC"	1	"LE professeur m'a pénalisé car j'ai fait un contresens."	"correct"	"incorrect"				
"ABC"	1	"Les pyramides sont de vrais chefs-d'œuvre."	"correct"	"incorrect"				
"ABC"	1	"elle s'est fait forte d'être arrivée avant moi."	"incorrect"	"correct"				"fort"
"ABC"	1	"A la fin du roman, le détective a découvert le poteau rose."	"incorrect"	"correct"				"pot aux roses"
"ABC"	1	"Il a réduit sa consommation de pain de quatre-vingt pour cent"	"incorrect"	"correct"				"quatre-vingts"
"ABC"	1	"Avoir un enfant ou privilégier sa carrière, pour les femmes, quel dilemne !"	"incorrect"	"correct"				"dilemme"
"ABC"	1	"On va recueillir l'avis des participants à la demie-journée"	"incorrect"	"correct"				"demi"
"ABC"	1	"Ce tuteur à tomates garantit un bon maitient."	"incorrect"	"correct"				"maintien"
"ABC"	1	"Elle coasse fort cette grenouille reinette !"	"incorrect"	"correct"				"rainette"
"ABC"	1	"Où donc faut-il déposer nos affaires ?"	"correct"	"incorrect"				
"ABC"	1	"Marcel a signé le sous saint privé chez le notaire"	"incorrect"	"correct"				"seing"
"ABC"	1	"Si six scies scient six citrons, six cent six scies scieront six cent six citrons."	"correct"	"incorrect"				
"ABC"	1	"Le journaliste a trufé son article de fautes de français."	"incorrect"	"correct"				"truffé"
"ABC"	1	"Le client a versé un accompte conséquent pour l'achat de son véhicule électrique"	"incorrect"	"correct"				"acompte"
"ABC"	1	"Pour louer son appartement Marie a versé des ares au propriétaire."	"incorrect"	"correct"				"arrhes"
"ABC"	1	"Quelle joie pour les étudiants admis à l'examen, il se sont félicité des heures durant."	"incorrect"	"correct"				"félicités"
"ABC"	1	"Mon chien a renversés les quilles que j'avais si bien alignées."	"incorrect"	"correct"				"renversé"
"ABC"	1	"Anticonstitutionnellement est le mot le plus long de la langue Française."	"incorrect"	"correct"				"française"
"ABC"	1	"Quand l'employé à commencé sa tâche, il nettoie la gondole."	"incorrect"	"correct"				"a"
"ABC"	1	"""Science sans conscience n'est que ruine de l'âme"" (Rabelais)"	"correct"	"incorrect"				
"ABC"	1	"Jadis nous utilisions des ordinateurs gros comme des immeubles"	"incorrect"	"correct"				"Naguère"
"ABC"	1	"Les  roses rouges sangs du bouquet, attiraient le regard dès le vestibule."	"correct"	"incorrect"				
"ABC"	1	"Le perceur de coffres-forts se mettait à l'œuvre dès minuit."	"correct"	"incorrect"				
"ABC"	1	"Les renardeaux, il les a vu courir dans la neige au petit matin."	"incorrect"	"correct"				"vus"
"ABC"	1	"La pièce que j'ai vue jouer était excellente"	"incorrect"	"correct"				"vu"
